from_facility,gatepass_code,gatepass_item_status,to_party,item_skucode,to_facility,to_warehouse,reference,quantity,received_quantity,gatepass_created
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,GT800A-BLACK,Opp_WIQ_KA,WareIQ,,1,1,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,GT800A-BLUE,Opp_WIQ_KA,WareIQ,,9,9,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,GT800A-RED,Opp_WIQ_KA,WareIQ,,10,10,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,GT800A-WHITE,Opp_WIQ_KA,WareIQ,,5,5,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,LS-6650-BLACK-LINKARM,Opp_WIQ_KA,WareIQ,,2,2,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,LS-6657D-GREEN-LINKARM,Opp_WIQ_KA,WareIQ,,1,1,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,LS-6658-BLACK-LINKARM,Opp_WIQ_KA,WareIQ,,2,2,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,LS-6658B-01,Opp_WIQ_KA,WareIQ,,2,2,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,LS-6689A-BLACK-LINKARM,Opp_WIQ_KA,WareIQ,,2,2,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,LS-6689A-MAROON-LINKARM,Opp_WIQ_KA,WareIQ,,1,1,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,LS-6689SN-BLACK-4D,Opp_WIQ_KA,WareIQ,,2,2,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0001,CLOSED,OppDoor Innovative Solutions Private Limited_KA,LS-6689SN-MAROON-4D,Opp_WIQ_KA,WareIQ,,1,1,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0002,CLOSED,OppDoor Innovative Solutions Private Limited_KA,GT800A-BLACK,Opp_WIQ_KA,WareIQ,,1,1,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0002,CLOSED,OppDoor Innovative Solutions Private Limited_KA,GT800A-BLUE,Opp_WIQ_KA,WareIQ,,9,9,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0002,CLOSED,OppDoor Innovative Solutions Private Limited_KA,GT800A-RED,Opp_WIQ_KA,WareIQ,,10,10,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0002,CLOSED,OppDoor Innovative Solutions Private Limited_KA,GT800A-WHITE,Opp_WIQ_KA,WareIQ,,5,5,2025-07-01
OPP_EKT_KA,GP28656OPP_EKT_KA0002,CLOSED,OppDoor Innovative Solutions Private Limited_KA,LS-6650-BLACK-LINKARM,Opp_WIQ_KA,WareIQ,,2,2,2025-07-01
