date,GP_PO,sku,from_facility,to_facility,warehouse,quantity,received_quantity,Intransit_quantity,brand
2026-02-25,GP40194OPP_RSG_MH0003,BL-CAB023FQ2MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-42,48.0,6.0,Belkin
2026-03-05,GP40194OPP_RSG_MH0004,BL-CAB023FQ1MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-03-10,GP40194OPP_RSG_MH0005,BL-CAB023FQ1MBL,OPP_RSG_MH,ISK3,To Amazon FBA,-24,18.0,6.0,Belkin
2026-03-10,GP40194OPP_RSG_MH0005,BL-CAB024FQ1MBL,OPP_RSG_MH,ISK3,To Amazon FBA,-156,162.0,6.0,Belkin
2026-03-10,GP40194OPP_RSG_MH0007,BL-BPB020BTBK,OPP_RSG_MH,ISK3,To Amazon FBA,-18,25.0,7.0,Belkin
2026-03-16,GP40194OPP_RSG_MH0010,GT800A-GREEN,OPP_RSG_MH,OPP_WIQ_MH_1,WareIQ,-12,9.0,3.0,GTPlayer
2026-03-16,GP40194OPP_RSG_MH0011,BL-AVC022FQBK,OPP_RSG_MH,ISK3,To Amazon FBA,-30,42.0,12.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0012,BL-BPB014BTBK,OPP_RSG_MH,DED3,To Amazon FBA,-8,0.0,8.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0012,BL-BPB020BTBK,OPP_RSG_MH,DED3,To Amazon FBA,-32,24.0,8.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0013,BL-CAB022FQ2MWH,OPP_RSG_MH,DED3,To Amazon FBA,-2,0.0,2.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0013,BL-CAB023FQ1MBL,OPP_RSG_MH,DED3,To Amazon FBA,-35,30.0,5.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0013,BL-CAB023FQ2MWH,OPP_RSG_MH,DED3,To Amazon FBA,-39,36.0,3.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0013,BL-MSA034QCNY,OPP_RSG_MH,DED3,To Amazon FBA,-5,0.0,5.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0013,BL-MSA034QCSE,OPP_RSG_MH,DED3,To Amazon FBA,-5,0.0,5.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0013,BL-MSA035QCBK,OPP_RSG_MH,DED3,To Amazon FBA,-3,0.0,3.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0013,BL-MSA039QCBK,OPP_RSG_MH,DED3,To Amazon FBA,-5,0.0,5.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0013,BL-OVA214FQ,OPP_RSG_MH,DED3,To Amazon FBA,-3,0.0,3.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0013,BL-OVA261QC,OPP_RSG_MH,DED3,To Amazon FBA,-14,12.0,2.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0013,BL-OVA278QC,OPP_RSG_MH,DED3,To Amazon FBA,-5,0.0,5.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0014,BL-CAB023FQ1MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-174,18.0,156.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0014,BL-CAB023FQ1MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-174,103.0,71.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0014,BL-CAB023FQ2MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-132,117.0,15.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0014,BL-CAB023FQ2MPK,OPP_RSG_MH,ISK3,To Amazon FBA,-158,156.0,2.0,Belkin
2026-03-20,GP40194OPP_RSG_MH0014,BL-CAB024FQ2MBK,OPP_RSG_MH,ISK3,To Amazon FBA,-410,144.0,266.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0018,BL-BPB012BTBK,OPP_RSG_MH,ISK3,To Amazon FBA,-8,0.0,8.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0018,BL-BPB020BTBK,OPP_RSG_MH,ISK3,To Amazon FBA,-48,0.0,48.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-AVC023FQBK,OPP_RSG_MH,ISK3,To Amazon FBA,-18,0.0,18.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-CAB022FQ1MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-108,0.0,108.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-CAB022FQ2MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-CAB023FQ1MBL,OPP_RSG_MH,ISK3,To Amazon FBA,-24,0.0,24.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-CAB023FQ2MWH,OPP_RSG_MH,ISK3,To Amazon FBA,-60,0.0,60.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-CAB024FQ1MBL,OPP_RSG_MH,ISK3,To Amazon FBA,-6,0.0,6.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-MSA031QCCL,OPP_RSG_MH,ISK3,To Amazon FBA,-12,0.0,12.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-MSA034QCSE,OPP_RSG_MH,ISK3,To Amazon FBA,-18,0.0,18.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-MSA035QCNY,OPP_RSG_MH,ISK3,To Amazon FBA,-12,0.0,12.0,Belkin
2026-03-30,GP40194OPP_RSG_MH0019,BL-MSA036QCNY,OPP_RSG_MH,ISK3,To Amazon FBA,-12,0.0,12.0,Belkin
